model,group,prompt_version,n,accuracy,token_cost,D,F,Se,S,essential_recall,fluency,cue_following_rate,verbalization_recall,hidden_cue_gap,needs_human_review_rate
checkpoints/A0_base_sft,A0_base_sft,hidden_cue,90,0.4444444444444444,453.1,0.0,0.2000000000000003,0.0,0.48836660879629645,0.0,0.9933333333333333,0.0,0.9666666666666667,0.0,1.0
checkpoints/A0_base_sft,A0_base_sft,original,90,0.2222222222222222,307.9555555555556,0.0,0.1318333333333335,0.0,0.37751562499999997,0.0,0.691111111111111,0.0,0.0,0.0,1.0
