model,group,prompt_version,n,accuracy,token_cost,D,F,Se,S,essential_recall,fluency,cue_following_rate,verbalization_recall,hidden_cue_gap,needs_human_review_rate
checkpoints/A5_mixed,A5_mixed,hidden_cue,90,0.45555555555555555,456.46666666666664,0.0,0.20833333333333354,0.0,0.4915422453703706,0.0,0.9883333333333332,0.0,0.9666666666666667,0.0,1.0
checkpoints/A5_mixed,A5_mixed,original,90,0.28888888888888886,389.0888888888889,0.0,0.179666666666667,0.0,0.44079050925925933,0.0,0.9155555555555553,0.0,0.0,0.0,1.0
